State,Receives_subsidy,Receives_no_subsidy,Total N,Missing N
Alabama,65.60%,34.40%,518,0
Alaska,94.80%,5.20%,328,0
Arizona,91.60%,8.40%,"2,522",0
Arkansas,87.40%,12.60%,691,0
California,97.10%,2.90%,"5,322",0
Colorado,72.60%,27.40%,782,0
Connecticut,92.90%,7.10%,490,0
Delaware,99.10%,0.90%,112,0
District of Columbia,100.00%,0.00%,110,0
Florida,98.70%,1.30%,"3,415",0
Georgia,89.20%,10.80%,"1,031",0
Hawaii,100.00%,0.00%,160,0
Idaho,99.50%,0.50%,206,0
Illinois,91.70%,8.30%,"1,395",0
Indiana,90.50%,9.50%,961,0
Iowa,75.90%,24.10%,917,0
Kansas,92.60%,7.40%,674,0
Kentucky,99.10%,0.90%,797,0
Louisiana,91.70%,8.30%,731,0
Maine,96.70%,3.30%,214,0
Maryland,92.40%,7.60%,355,0
Massachusetts,97.00%,3.00%,799,0
Michigan,88.80%,11.20%,"2,374",0
Minnesota,83.40%,16.60%,583,0
Mississippi,89.50%,10.50%,354,0
Missouri,77.70%,22.30%,"1,231",0
Montana,100.00%,0.00%,165,0
Nebraska,94.90%,5.10%,586,0
Nevada,98.50%,1.50%,721,0
New Hampshire,4.50%,95.50%,110,0
New Jersey,98.00%,2.00%,914,13
New Mexico,99.70%,0.30%,310,0
New York,99.20%,0.80%,"2,184",0
North Carolina,100.00%,0.00%,"1,222",0
North Dakota,96.20%,3.80%,104,0
Ohio,97.80%,2.20%,"1,240",4
Oklahoma,93.00%,7.00%,"1,286",0
Oregon,97.10%,2.90%,768,0
Pennsylvania,91.40%,8.60%,"1,877",1
Rhode Island,100.00%,0.00%,162,0
South Carolina,95.10%,4.90%,506,0
South Dakota,100.00%,0.00%,177,0
Tennessee,95.80%,4.20%,"1,159",0
Texas,93.40%,6.60%,"5,443",0
Utah,98.00%,2.00%,586,0
Vermont,85.50%,14.50%,179,0
Virginia,87.30%,12.70%,709,0
Washington,99.30%,0.70%,"1,328",0
West Virginia,99.80%,0.20%,875,2
Wisconsin,100.00%,0.00%,800,0
Wyoming,90.70%,9.30%,86,0
Puerto Rico,22.20%,77.80%,18,1
Total,93.20%,6.80%,"50,587",21
