State,Indian/Alaska Native,Asian,Black,Hawaiian/Other Pacific Islander,Hispanic (of any race),White,Unknown,2+,Total N,Missing N
Alabama,0.60%,0.00%,22.80%,0.00%,5.40%,62.90%,0.60%,7.70%,518,0
Alaska,50.30%,0.30%,1.80%,0.00%,3.40%,27.70%,2.40%,14.00%,328,0
Arizona,1.80%,0.20%,9.00%,0.40%,42.30%,40.60%,1.30%,4.20%,"2,522",0
Arkansas,0.30%,0.60%,18.50%,0.00%,4.90%,66.70%,0.00%,9.00%,691,0
California,0.50%,1.60%,12.10%,0.30%,51.10%,27.70%,0.20%,6.40%,"5,322",0
Colorado,0.90%,0.10%,10.50%,0.10%,37.10%,45.10%,0.10%,6.00%,781,1
Connecticut,0.00%,2.00%,23.70%,0.00%,30.20%,36.50%,0.60%,6.90%,490,0
Delaware,0.00%,0.00%,41.10%,0.00%,2.70%,50.00%,0.00%,6.30%,112,0
District of Columbia,0.00%,0.00%,82.70%,0.00%,14.50%,1.80%,0.00%,0.90%,110,0
Florida,0.00%,0.20%,28.50%,0.00%,13.40%,52.00%,0.30%,5.60%,"3,415",0
Georgia,0.00%,0.00%,32.60%,0.00%,9.10%,48.70%,0.00%,9.60%,"1,031",0
Hawaii,0.60%,6.30%,0.00%,21.30%,1.90%,5.00%,0.00%,65.00%,160,0
Idaho,3.90%,0.00%,2.40%,0.00%,18.40%,68.90%,0.00%,6.30%,206,0
Illinois,0.40%,0.10%,43.90%,0.00%,4.70%,49.10%,1.60%,0.20%,"1,395",0
Indiana,0.00%,0.20%,19.80%,0.00%,7.60%,65.90%,0.10%,6.50%,961,0
Iowa,1.90%,0.80%,15.60%,0.30%,10.70%,61.60%,1.30%,7.90%,917,0
Kansas,1.00%,0.10%,20.20%,0.10%,10.50%,59.30%,0.00%,8.60%,674,0
Kentucky,0.00%,0.00%,9.80%,0.00%,6.60%,76.00%,2.80%,4.80%,797,0
Louisiana,0.00%,0.00%,32.40%,0.00%,1.80%,59.00%,1.00%,5.90%,731,0
Maine,1.90%,0.50%,0.50%,0.00%,19.20%,58.40%,12.10%,7.50%,214,0
Maryland,0.00%,0.30%,47.90%,0.00%,6.80%,36.60%,3.70%,4.80%,355,0
Massachusetts,0.60%,1.80%,13.10%,0.00%,23.30%,48.20%,4.60%,8.40%,799,0
Michigan,0.60%,0.10%,27.90%,0.00%,6.20%,53.20%,0.00%,11.90%,"2,374",0
Minnesota,8.10%,3.30%,17.70%,0.00%,13.00%,46.50%,0.70%,10.80%,583,0
Mississippi,0.00%,1.10%,45.20%,0.00%,2.50%,45.20%,0.60%,5.40%,354,0
Missouri,0.60%,0.10%,22.30%,0.10%,3.60%,70.30%,1.50%,1.50%,"1,231",0
Montana,18.80%,0.00%,0.00%,0.00%,6.70%,57.60%,0.00%,17.00%,165,0
Nebraska,4.60%,0.30%,20.60%,0.50%,11.60%,54.80%,1.70%,5.80%,586,0
Nevada,0.40%,0.80%,24.00%,0.10%,23.30%,44.90%,0.10%,6.20%,721,0
New Hampshire,0.00%,0.00%,2.80%,0.00%,7.30%,87.20%,0.00%,2.80%,109,1
New Jersey,0.00%,0.00%,42.00%,0.00%,21.30%,28.50%,2.70%,5.60%,927,0
New Mexico,4.50%,0.00%,2.90%,0.60%,59.70%,31.00%,0.00%,1.30%,310,0
New York,0.10%,0.30%,44.50%,0.00%,16.90%,24.30%,10.10%,3.80%,"2,184",0
North Carolina,1.30%,0.10%,30.80%,0.00%,6.10%,49.20%,0.10%,12.50%,"1,222",0
North Dakota,24.00%,0.00%,0.00%,0.00%,5.80%,53.80%,0.00%,16.30%,104,0
Ohio,0.00%,0.20%,19.60%,0.00%,6.40%,62.40%,0.20%,11.10%,"1,243",1
Oklahoma,10.20%,0.40%,11.40%,0.00%,17.40%,38.30%,0.00%,22.30%,"1,286",0
Oregon,1.20%,0.00%,5.30%,0.80%,16.80%,51.00%,3.60%,21.20%,768,0
Pennsylvania,0.10%,0.30%,29.40%,0.00%,13.20%,49.80%,0.80%,6.40%,"1,878",0
Rhode Island,1.20%,2.50%,12.30%,0.00%,25.90%,42.60%,1.20%,14.20%,162,0
South Carolina,0.00%,0.00%,38.10%,0.00%,6.50%,46.20%,0.20%,8.90%,506,0
South Dakota,36.70%,0.00%,4.00%,0.00%,10.70%,38.40%,0.00%,10.20%,177,0
Tennessee,0.00%,0.00%,9.40%,0.00%,7.70%,77.60%,0.70%,4.70%,"1,159",0
Texas,0.20%,0.30%,22.90%,0.10%,44.40%,27.00%,1.00%,4.20%,"5,443",0
Utah,2.00%,0.00%,1.70%,0.00%,21.80%,70.30%,1.20%,2.90%,586,0
Vermont,0.00%,0.00%,0.60%,0.00%,0.60%,96.60%,0.00%,2.20%,179,0
Virginia,0.00%,0.30%,21.90%,0.30%,9.90%,59.80%,0.00%,7.90%,709,0
Washington,3.10%,1.00%,6.90%,0.20%,15.40%,57.40%,0.10%,16.00%,"1,328",0
West Virginia,0.00%,0.00%,4.20%,0.00%,0.30%,85.60%,0.10%,9.70%,877,0
Wisconsin,3.80%,0.10%,31.40%,0.00%,10.30%,46.60%,1.40%,6.50%,800,0
Wyoming,1.20%,0.00%,10.50%,1.20%,11.60%,75.60%,0.00%,0.00%,86,0
Puerto Rico,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,19,0
Total,1.60%,0.50%,21.30%,0.20%,21.10%,46.60%,1.20%,7.50%,"50,605",3
,,,,,3,,,,,
