State,Male,Female,Total N,Missing N
Alabama,51.90%,48.10%,518,0
Alaska,50.30%,49.70%,328,0
Arizona,48.70%,51.30%,"2,522",0
Arkansas,49.10%,50.90%,691,0
California,51.00%,49.00%,"5,322",0
Colorado,54.10%,45.90%,782,0
Connecticut,53.50%,46.50%,484,6
Delaware,54.50%,45.50%,112,0
District of Columbia,54.50%,45.50%,110,0
Florida,50.90%,49.10%,"3,415",0
Georgia,51.60%,48.40%,"1,031",0
Hawaii,42.50%,57.50%,160,0
Idaho,47.10%,52.90%,206,0
Illinois,51.70%,48.30%,"1,395",0
Indiana,52.40%,47.60%,961,0
Iowa,50.40%,49.60%,917,0
Kansas,49.60%,50.40%,674,0
Kentucky,48.90%,51.10%,797,0
Louisiana,53.10%,46.90%,731,0
Maine,56.10%,43.90%,214,0
Maryland,54.40%,45.60%,355,0
Massachusetts,53.60%,46.40%,799,0
Michigan,50.60%,49.40%,"2,374",0
Minnesota,49.70%,50.30%,583,0
Mississippi,43.50%,56.50%,354,0
Missouri,50.90%,49.10%,"1,231",0
Montana,49.70%,50.30%,165,0
Nebraska,52.60%,47.40%,586,0
Nevada,53.50%,46.50%,721,0
New Hampshire,46.40%,53.60%,110,0
New Jersey,49.90%,50.10%,927,0
New Mexico,51.30%,48.70%,310,0
New York,51.20%,48.80%,"2,184",0
North Carolina,50.70%,49.30%,"1,222",0
North Dakota,51.00%,49.00%,104,0
Ohio,53.70%,46.30%,"1,244",0
Oklahoma,48.40%,51.60%,"1,286",0
Oregon,51.30%,48.70%,768,0
Pennsylvania,52.20%,47.80%,"1,877",1
Rhode Island,46.90%,53.10%,162,0
South Carolina,50.20%,49.80%,506,0
South Dakota,53.70%,46.30%,177,0
Tennessee,49.40%,50.60%,"1,159",0
Texas,52.00%,48.00%,"5,443",0
Utah,48.10%,51.90%,586,0
Vermont,54.20%,45.80%,179,0
Virginia,53.30%,46.70%,709,0
Washington,49.60%,50.40%,"1,328",0
West Virginia,49.10%,50.90%,877,0
Wisconsin,48.30%,51.80%,800,0
Wyoming,46.50%,53.50%,86,0
Puerto Rico,63.20%,36.80%,19,0
