State,Yes,No,Total N,Missing N
Alabama,81.70%,18.30%,518,0
Alaska,100.00%,0.00%,327,1
Arizona,94.40%,5.60%,"2,520",2
Arkansas,84.90%,15.10%,691,0
California,99.80%,0.20%,"5,322",0
Colorado,100.00%,0.00%,782,0
Connecticut,13.90%,86.10%,490,0
Delaware,98.20%,1.80%,112,0
District of Columbia,100.00%,0.00%,110,0
Florida,93.90%,6.10%,"3,415",0
Georgia,89.40%,10.60%,"1,030",1
Hawaii,97.50%,2.50%,160,0
Idaho,99.50%,0.50%,206,0
Illinois,95.60%,4.40%,"1,395",0
Indiana,93.00%,7.00%,702,259
Iowa,62.40%,37.60%,917,0
Kansas,99.70%,0.30%,674,0
Kentucky,64.70%,35.30%,797,0
Louisiana,64.60%,35.40%,731,0
Maine,99.10%,0.90%,214,0
Maryland,97.40%,2.60%,352,3
Massachusetts,99.90%,0.10%,799,0
Michigan,89.20%,10.80%,"2,374",0
Minnesota,90.50%,9.50%,582,1
Mississippi,98.00%,2.00%,354,0
Missouri,52.50%,47.50%,"1,231",0
Montana,100.00%,0.00%,165,0
Nebraska,55.50%,44.50%,586,0
Nevada,100.00%,0.00%,721,0
New Hampshire,100.00%,0.00%,110,0
New Jersey,71.80%,28.20%,927,0
New Mexico,100.00%,0.00%,310,0
New York,5.80%,94.20%,"2,184",0
North Carolina,99.90%,0.10%,"1,221",1
North Dakota,97.10%,2.90%,104,0
Ohio,98.20%,1.80%,"1,244",0
Oklahoma,93.20%,6.80%,"1,286",0
Oregon,100.00%,0.00%,768,0
Pennsylvania,89.40%,10.60%,"1,878",0
Rhode Island,88.30%,11.70%,162,0
South Carolina,97.80%,2.20%,506,0
South Dakota,100.00%,0.00%,177,0
Tennessee,53.90%,46.10%,"1,159",0
Texas,87.20%,12.80%,"5,443",0
Utah,98.00%,2.00%,586,0
Vermont,100.00%,0.00%,179,0
Virginia,67.00%,33.00%,603,106
Washington,100.00%,0.00%,"1,306",22
West Virginia,100.00%,0.00%,873,4
Wisconsin,100.00%,0.00%,790,10
Wyoming,10.50%,89.50%,86,0
Puerto Rico,63.20%,36.80%,19,0
