country,adoptions finalized abroad,adoptions to be finalized in the u.s.,number of convention cases,average days to completion,median asp convention adoption fees
*Afghanistan,0,2,,,
Albania,6,0,6,475,27160
*Algeria,2,0,,,
Armenia,12,0,12,411,19825
Azerbaijan,2,0,2,436,18080
*Bangladesh,0,14,,,
Belize,0,11,11,309,15750
*benin,1,0,,,
Bosnia-Herzegovina,1,0,,,
Brazil,23,0,23,511,10413
Bulgaria,159,0,158,380,12550
Burkia Faso,3,0,3,356,13000
Burundi,1,0,1,601,16700
*Cameroon,7,0,,,
Canada,0,4,4,181,20000
China,2301,5,2239,257,15675
Colombia,159,0,159,397,17300
"*Congo, the Democratic Republic of",25,288,,,
"*Congo, Republic of the",4,0,,,
Costa Rica,10,0,10,560,15675
*C'ote D'ivoire,2,0,,,
*Dominica,5,0,,,
Dominican Republic,13,0,12,588,15300
Ecuador,11,0,11,236,6750
Egypt,0,1,,,
El Salvador,7,0,5,649,14500
*Eritrea,3,4,,,
*ethiopia,950,43,,,
Fiji,1,0,,,
"*Gambia, The",1,1,,,
Georgia,5,0,5,461,18800
*Ghana,118,52,,,
Greece,1,0,1,375,
*grenada,3,0,,,
*Guetemala,23,0,,,
guniea,1,0,1,469,
*guniea-bissau,1,4,,,
*guyana,49,1,,,
*haiti,365,23,,,
*honduras,19,0,,,
hong kong,0,17,17,338,10500
hungary,23,0,23,312,21735
india,97,22,117,616,14073
*indonesia,2,0,,,
*iran,0,3,,,
*jamaica,32,47,,,
*japan,1,21,,,
*jordan,0,4,,,
kenya,4,0,4,456,6250
latvia,89,0,89,315,16847
*lebanon,2,0,,,
lesotho,2,1,,,
*liberia,7,5,,,
lithuania,11,0,11,261,14892
*malawi,10,0,,,
*malaysia,1,1,,,
*marshall islands,18,0,,,
mexico,21,0,19,536,14250
mongolia,1,1,1,474,18890
*morroco,0,24,,,
*mozambique,3,0,,,
*namibia,1,0,,,
*nicaragua,37,0,,,
*nigeria,2,0,,,
*niger,181,2,,,
*pakistan,0,47,,,
panama,3,1,4,71,13328
peru,21,0,21,534,11500
phillipines,6,172,169,444,8800
poland,49,0,49,393,17000
*republic of korea,71,67,,,
*russia,249,1,,,
*samoa,2,7,,,
*serbia,7,0,,,
*sierra leone,28,5,,,
*singapore,1,0,,,
south africa,17,0,17,224,26994
*south sudan,2,0,,,
*st. lucia,0,1,,,
*st. vincent and the grenadines,18,0,,,
*sudan,1,0,,,
*suriname,0,1,,,
*syria,0,1,,,
*taiwan,76,18,,,
*tanzania,9,0,,,
thailand,4,32,36,605,14920
togo,1,0,1,651,
*tonga,4,0,,,
*trinidad and tobago,0,2,,,
*uganda,6,270,,,
*ukraine,403,35,,,
united kingdom,10,0,10,328,11000
*vanautu,1,0,,,
*zambia,5,0,,,
