state,adoptions finalized abroad,adoptions to be finalized in the united states
overseas americans,10,0
alaska,14,8
alabama,152,19
arkansas,50,3
arizona,75,19
california,360,117
colorado,152,38
connecticut,46,5
district of columbia,15,8
delaware,14,6
florida,243,39
georgia,237,42
guam,1,3
hawaii,12,10
iowa,77,20
idaho,39,17
illinois,265,54
indiana,166,69
kansas,65,14
kentucky,131,21
louisiana,38,3
massachusetts,90,17
maryland,158,37
maine,36,4
michigan,200,31
minnesota,170,35
missouri,156,19
mississippi,46,4
montana,23,12
north carolina,196,50
north dakota,12,3
nebraska,52,7
new hampshire,11,8
new jersey,111,25
new mexico,24,14
nevada,14,9
new york,292,68
ohio,242,21
oklahoma,62,30
oregon,102,35
pennsylvania,225,49
puerto rico,5,1
rhode island,18,1
south carolina,104,18
south dakota,16,2
tennessee,222,40
texas,417,72
utah,97,11
virginia,215,43
virgin islands,2,0
vermont,16,1
washington,199,42
wisconsin,106,27
west virginia,13,5
wyoming,19,5
